Tarih;Saat;Enlem(N);Boylam(E);Derinlik(km);MD;ML;Mw;Yer;Çözüm Niteliği
2024.12.07;13:14:06;37.4270;27.0533;10.9;-.-;1.7;-.-;EGE DENIZI;İlksel
2024.12.07;13:12:04;40.1733;31.7295;5.0;-.-;2.2;-.-;SEKLI-BEYPAZARI (ANKARA);İlksel
2024.12.07;13:02:39;38.1080;36.5522;5.7;-.-;2.0;-.-;CAMDERE-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.07;12:57:26;39.4777;28.1512;8.3;-.-;1.9;-.-;ISKELE-BIGADIC (BALIKESIR);İlksel
2024.12.07;12:52:40;34.9140;25.3157;5.0;-.-;2.9;-.-;GIRIT ADASI (AKDENIZ);İlksel
2024.12.07;12:35:41;37.9513;27.5342;6.8;-.-;1.7;-.-;DAGYENI-GERMENCIK (AYDIN);İlksel
2024.12.07;12:32:27;39.5473;25.8892;10.4;-.-;3.1;3.0;GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI);İlksel
2024.12.07;11:11:47;37.5657;35.7457;5.0;-.-;1.9;-.-;BAGOZU-KOZAN (ADANA);İlksel
2024.12.07;11:07:13;38.7760;25.9185;5.9;-.-;2.4;-.-;EGE DENIZI;İlksel
2024.12.07;10:56:00;37.0638;29.5447;5.1;-.-;1.6;-.-;EVCILER-GOLHISAR (BURDUR);İlksel
2024.12.07;10:46:34;36.9518;31.0548;28.4;-.-;1.8;-.-;BURMAHANCI-SERIK (ANTALYA);İlksel
2024.12.07;10:39:56;38.2807;37.7815;7.9;-.-;2.1;-.-;CEVIRME-AKCADAG (MALATYA);İlksel
2024.12.07;10:08:08;37.0423;36.0490;9.6;-.-;1.9;-.-;LALEGOLU-TOPRAKKALE (OSMANIYE);İlksel
2024.12.07;09:58:00;40.0077;39.1842;7.7;-.-;2.1;-.-;GURLEYIK-KELKIT (GUMUSHANE);İlksel
2024.12.07;09:39:44;39.6532;39.5383;4.4;-.-;2.2;-.-;YAYLABASI-(ERZINCAN);İlksel
2024.12.07;08:05:01;38.7882;31.2338;5.0;-.-;1.6;-.-;BUYUKKARABAG-BOLVADIN (AFYONKARAHISAR);İlksel
2024.12.07;07:38:16;39.6737;39.5298;5.5;-.-;2.4;-.-;CATALOREN-(ERZINCAN);İlksel
2024.12.07;07:16:49;37.9243;34.0095;5.8;-.-;2.3;-.-;BELKAYA-EREGLI (KONYA);İlksel
2024.12.07;07:01:15;38.1512;36.8672;5.0;-.-;1.7;-.-;ESENCE-AFSIN (KAHRAMANMARAS);İlksel
2024.12.07;06:40:53;37.9998;37.4110;5.4;-.-;1.5;-.-;NURHAK (KAHRAMANMARAS);İlksel
